code,main_category,subcategory,flood_mitigation_flag
100.1,planning,public_awareness,0
103.1,planning,feasibility_study,0
104.1,planning,codes_standards,0
106.1,planning,other_nonconstruction,0
106.2,planning,other_nonconstruction,0
200.1,acquisition_buyouts,acquisition,1
200.2,acquisition_buyouts,acquisition,1
200.3,acquisition_buyouts,acquisition,1
200.4,acquisition_buyouts,acquisition,1
200.5,acquisition_buyouts,acquisition,1
200.6,acquisition_buyouts,acquisition,1
200.7,acquisition_buyouts,acquisition,1
201.1,acquisition_buyouts,relocation,1
201.2,acquisition_buyouts,relocation,1
201.3,acquisition_buyouts,relocation,1
201.4,acquisition_buyouts,relocation,1
201.5,acquisition_buyouts,relocation,1
201.6,acquisition_buyouts,relocation,1
201.8,acquisition_buyouts,relocation,1
202.1,structure_protection,elevation,1
202.2,structure_protection,elevation,1
202.3,structure_protection,elevation,1
202.4,structure_protection,elevation,1
203.1,structure_protection,wet_floodproofing,1
203.2,structure_protection,wet_floodproofing,1
203.3,structure_protection,wet_floodproofing,1
203.4,structure_protection,wet_floodproofing,1
204.1,structure_protection,dry_floodproofing,1
204.2,structure_protection,dry_floodproofing,1
204.3,structure_protection,dry_floodproofing,1
204.4,structure_protection,dry_floodproofing,1
204.5,structure_protection,dry_floodproofing,1
204.6,structure_protection,dry_floodproofing,1
300.4,ecosystem_restoration,shoreline_stabilization,1
300.6,ecosystem_restoration,erosion_control,1
301.1,ecosystem_restoration,shoreline_stabilization,1
302.1,ecosystem_restoration,slope_stabilization,1
303.1,ecosystem_restoration,wetland_restoration,1
303.2,ecosystem_restoration,floodplain_restoration,1
400.1,infrastructure_protection,utility_protection,1
401.1,infrastructure_protection,water_sewer_protection,1
402.1,infrastructure_protection,roads_bridges_protection,1
402.4,infrastructure_stormwater,community_flood_mitigation,1
403.1,infrastructure_stormwater,stormwater_culverts,1
403.2,infrastructure_stormwater,stormwater_diversions,1
403.3,infrastructure_stormwater,stormwater_flapgates_floodgates,1
403.4,infrastructure_stormwater,detention_retention,1
404.1,flood_control,localized_flood_control,1
405.1,flood_control,minor_flood_control,1
500.1,flood_control,floodwall,1
500.2,flood_control,berm_levee_dike,1
500.3,flood_control,dam,1
501.1,flood_control,major_structural,1
600.1,equipment,warning_systems,0
601.1,equipment,generators,0
601.2,equipment,generators,0
602.1,equipment,other_equipment,0
700.1,admin,salaries,0
700.2,admin,equipment,0
700.3,admin,office_space_rental,0
700.4,admin,supplies,0
701.1,planning,technical_assistance,0
800.1,other,other,0
904.1,planning,technical_assistance,0
904.2,planning,technical_assistance,0
90.4,planning,local_mitigation_planning,0
90.6,planning,state_mitigation_planning,0
91.1,planning,local_mitigation_planning,0
91.2,planning,local_mitigation_planning,0
91.3,planning,local_mitigation_planning,0
91.4,planning,local_multijurisdictional_mitigation_planning,0
91.5,planning,local_multijurisdictional_mitigation_planning,0
92.1,planning,state_mitigation_planning,0
95.1,planning,mitigation_planning,0
95.2,planning,planning_related,0
